convergence_threshold,divergence_threshold,atr_multiplier_stop,atr_multiplier_target,max_hold_bars,sharpe_ratio,total_return,max_drawdown,win_rate,profit_factor,num_trades,consistency_score,success
0.3,0.3,1.0,1.5,40,-0.18572146584351065,-0.31,1.4351921064434146,35.714285714285715,0.9014373716632443,14,61.329545302815944,True
0.3,0.3,1.0,1.5,50,-0.18572146584351065,-0.31,1.4351921064434146,35.714285714285715,0.9014373716632443,14,61.329545302815944,True
0.2,0.3,1.0,1.5,30,-0.20514228597493697,-0.44999999999999996,1.545,40.0,0.9405405405405406,35,44.933244300512364,True
0.2,0.3,1.0,1.5,40,-0.20514228597493697,-0.44999999999999996,1.545,40.0,0.9405405405405406,35,44.933244300512364,True
0.2,0.3,1.0,1.5,50,-0.20514228597493697,-0.44999999999999996,1.545,40.0,0.9405405405405406,35,44.933244300512364,True
0.3,0.3,1.5,2.0,50,-0.2942421900670232,-0.5599999999999999,1.2662645196669824,36.36363636363637,0.7799564270152506,11,60.86544416985455,True
0.3,0.3,1.5,2.0,40,-0.2942421900670232,-0.5599999999999999,1.2662645196669824,36.36363636363637,0.7799564270152506,11,60.86544416985455,True
0.3,0.3,1.5,2.0,30,-0.2942421900670232,-0.5599999999999999,1.2662645196669824,36.36363636363637,0.7799564270152506,11,60.86544416985455,True
0.3,0.2,1.5,1.5,40,-0.30483425078181303,-0.5,1.1487937665451275,57.14285714285714,0.8252032520325203,14,65.56421852847014,True
0.3,0.2,1.5,1.5,30,-0.30483425078181303,-0.5,1.1487937665451275,57.14285714285714,0.8252032520325203,14,65.56421852847014,True
0.3,0.2,1.5,1.5,50,-0.30483425078181303,-0.5,1.1487937665451275,57.14285714285714,0.8252032520325203,14,65.56421852847014,True
0.3,0.3,1.5,1.5,30,-0.3795324139576229,-0.67,1.2791685404487083,38.46153846153847,0.78,13,53.90821417258938,True
0.3,0.3,1.5,1.5,50,-0.3795324139576229,-0.67,1.2791685404487083,38.46153846153847,0.78,13,53.90821417258938,True
0.3,0.3,1.5,1.5,40,-0.3795324139576229,-0.67,1.2791685404487083,38.46153846153847,0.78,13,53.90821417258938,True
0.2,0.2,1.0,1.5,50,-0.48266125630624573,-0.98,1.5650000000000002,42.5,0.8317152103559871,40,50.986559292199416,True
0.2,0.2,1.0,1.5,40,-0.48266125630624573,-0.98,1.5650000000000002,42.5,0.8317152103559871,40,50.986559292199416,True
0.2,0.2,1.0,1.5,30,-0.48266125630624573,-0.98,1.5650000000000002,42.5,0.8317152103559871,40,50.986559292199416,True
0.4,0.3,1.5,2.0,50,-0.5105588792538247,-0.27999999999999997,0.5534779356768885,0.0,0.0,1,,True
0.4,0.3,1.5,2.0,40,-0.5105588792538247,-0.27999999999999997,0.5534779356768885,0.0,0.0,1,,True
0.4,0.3,1.5,2.0,30,-0.5105588792538247,-0.27999999999999997,0.5534779356768885,0.0,0.0,1,,True
0.4,0.3,1.5,1.5,50,-0.5105588792538247,-0.27999999999999997,0.5534779356768885,0.0,0.0,1,,True
0.4,0.3,1.5,1.5,40,-0.5105588792538247,-0.27999999999999997,0.5534779356768885,0.0,0.0,1,,True
0.4,0.3,1.5,1.5,30,-0.5105588792538247,-0.27999999999999997,0.5534779356768885,0.0,0.0,1,,True
0.4,0.3,1.0,2.0,50,-0.5105588792538247,-0.27999999999999997,0.5534779356768885,0.0,0.0,1,,True
0.4,0.3,1.0,2.0,40,-0.5105588792538247,-0.27999999999999997,0.5534779356768885,0.0,0.0,1,,True
0.4,0.3,1.0,2.0,30,-0.5105588792538247,-0.27999999999999997,0.5534779356768885,0.0,0.0,1,,True
0.4,0.3,1.0,1.5,50,-0.5105588792538247,-0.27999999999999997,0.5534779356768885,0.0,0.0,1,,True
0.4,0.3,1.0,1.5,40,-0.5105588792538247,-0.27999999999999997,0.5534779356768885,0.0,0.0,1,,True
0.4,0.3,1.0,1.5,30,-0.5105588792538247,-0.27999999999999997,0.5534779356768885,0.0,0.0,1,,True
